Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,2008,Action,Takara Tomy,0.0,0.0,0.12,0.0,0.12,Unknown
Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.07,0.02,0.0,0.02,0.12,EA Sports
Harvey Birdman: Attorney at Law,PS2,2008,Adventure,Capcom,0.06,0.04,0.0,0.01,0.12,High Voltage Software
My Chinese Coach,DS,2008,Misc,Ubisoft,0.1,0.01,0.0,0.01,0.12,"Ubisoft, Sensory Sweep"
Lost in Shadow,Wii,2010,Platform,Konami Digital Entertainment,0.09,0.0,0.01,0.01,0.12,Hudson Soft
DEATH NOTE: Kira Game,DS,2007,Adventure,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,Unknown
Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12,Tantatus
Sengoku Cyber: Fujimaru Jigokuhen,PS,1995,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,Unknown
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,Unknown
ASH: Archaic Sealed Heat,DS,2007,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12,Mistwalker
DreamWorks Super Star Kartz,PS3,2011,Racing,Activision,0.06,0.03,0.0,0.02,0.12,Activision
Dorabase 2: Nettou Ultra Stadium,DS,2009,Sports,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,Unknown
Where the Wild Things Are,Wii,2009,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,Griptonite Games
Center Ring Boxing,SAT,1994,Fighting,JVC,0.0,0.0,0.12,0.0,0.12,Unknown
NHL 2K3,XB,2002,Sports,Sega,0.09,0.02,0.0,0.0,0.12,Treyarch
Die Hard: Vendetta,GC,2002,Shooter,NDA Productions,0.09,0.02,0.0,0.0,0.12,Bits Studios
F1 2002,PS2,2002,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12,Visual Sciences
Every Extend Extra,PSP,2006,Shooter,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.12,Q Entertainment
FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,EA Canada
Cabela's North American Adventures,PS3,2010,Sports,Activision,0.11,0.0,0.0,0.01,0.12,FUN Labs
Darkspore,PC,2011,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,0.12,Maxis
Self-Defense Training Camp,X360,2011,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.12,Ubisoft
Sphinx and the Cursed Mummy,XB,2003,Action,THQ,0.09,0.02,0.0,0.0,0.12,Eurocom Entertainment Software
Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,2010,Adventure,Foreign Media Games,0.08,0.03,0.0,0.01,0.12,MumboJumbo
Dynasty Warriors 8: Xtreme Legends,PSV,2013,Action,Tecmo Koei,0.03,0.02,0.05,0.02,0.12,Unknown
GT Advance 2: Rally Racing,GBA,2001,Racing,THQ,0.08,0.03,0.0,0.0,0.11,MTO
Yakuza,PS3,2012,Action,Sega,0.0,0.0,0.11,0.0,0.11,Unknown
Karaoke Revolution Presents American Idol Encore 2,PS3,2008,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.11,Blitz Games
Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,Koei Tecmo Games
DOA 2: Dead or Alive 2 Hardcore,PS2,2000,Fighting,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,Unknown
Tenchu: Shadow Assassins,PSP,2009,Action,Ubisoft,0.03,0.02,0.05,0.01,0.11,From Software
Fuse (Insomniac),PS3,2013,Shooter,Electronic Arts,0.06,0.04,0.0,0.02,0.11,Unknown
Cabela's Deer Hunt 2005 Season,XB,2004,Sports,Activision,0.09,0.02,0.0,0.0,0.11,Sand Grain Studios
SplashDown,XB,2002,Racing,Atari,0.09,0.02,0.0,0.0,0.11,Rainbow Studios
18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,ValuSoft
Nobunaga no Yabou: Tenshoki,SAT,1995,Strategy,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,Unknown
F1 Racing Championship,PS,2000,Racing,Video System,0.06,0.04,0.0,0.01,0.11,Unknown
Dead Man's Hand,XB,2004,Shooter,Atari,0.09,0.02,0.0,0.0,0.11,Human Head Studios
Smash Cars,PS2,2003,Racing,Metro 3D,0.06,0.04,0.0,0.01,0.11,Creat Studios
NASCAR 07,PS2,2006,Racing,Electronic Arts,0.06,0.04,0.0,0.01,0.11,EA Tiburon
Merv Griffin's Crosswords,Wii,2008,Puzzle,THQ,0.11,0.0,0.0,0.01,0.11,"Pipeworks Software, Inc."
Tecmo Bowl: Kickoff,DS,2008,Sports,Tecmo Koei,0.11,0.0,0.0,0.01,0.11,Polygon Magic
Lost Horizon,PC,2010,Adventure,Deep Silver,0.0,0.1,0.0,0.02,0.11,Animation Arts
SingStar Latino,PS3,2009,Misc,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.11,SCEE London Studio
NFL Tour,PS3,2008,Sports,Electronic Arts,0.1,0.01,0.0,0.01,0.11,EA Tiburon
Minute to Win It,DS,2010,Misc,Zoo Games,0.11,0.0,0.0,0.01,0.11,Smack Down Productions
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,HB Studios Multimedia
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,PS2,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Unknown
Melty Blood: Act Cadenza,PS2,2006,Fighting,Sega,0.0,0.0,0.11,0.0,0.11,Unknown
Dokapon Kingdom,PS2,2007,Role-Playing,Sting,0.05,0.04,0.02,0.01,0.11,Sting
ToeJam & Earl III: Mission to Earth,XB,2002,Action,Sega,0.09,0.02,0.0,0.0,0.11,Unknown
Puzzle Quest 2,DS,2010,Puzzle,D3Publisher,0.1,0.0,0.0,0.01,0.11,Infinite Interactive
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,0.08,0.03,0.0,0.0,0.11,Digital Eclipse
Doukoku Shoshite...,SAT,1998,Adventure,Data East,0.0,0.0,0.11,0.0,0.11,Unknown
LEGO Knights' Kingdom,GBA,2004,Action,THQ,0.08,0.03,0.0,0.0,0.11,Razorback Developments
Final Fantasy III,PSP,2012,Role-Playing,Square Enix,0.0,0.0,0.11,0.0,0.11,Matrix Software
Taiko Drum Master: Tokumori!,WiiU,2014,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Unknown
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0.0,0.11,Headstrong Games
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,"Nippon Ichi Software, Hit Maker"
MySims SkyHeroes,PS3,2010,Action,Electronic Arts,0.08,0.02,0.0,0.01,0.11,Electronic Arts
Persona 5,PS3,2016,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11,Atlus
